"const_field"	"const"	"const_name"	"display_order"	"display"
"grade"	"1"	"有機"	5	True
"grade"	"2"	"無農薬"	5	True
"grade"	"3"	"一般"	5	True
"lotno"	"01"	"A"	5	True
"lotno"	"02"	"B"	5	True
"lotno"	"03"	"C"	5	True
"lotno"	"04"	"刈"	5	True
"lotno"	"05"	"ム"	5	True
"lotno"	"06"	"頭"	5	True
"lotno"	"07"	"K"	5	True
"producer"	"001"	"豊緑園"	5	True
"producer"	"002"	"善家"	5	True
"producer"	"003"	"堤石和春"	5	True
"producer"	"004"	"堤石正男"	5	True
"purchase"	"1"	"児湯茶"	5	True
"purchase"	"10"	"井ヶ田"	5	True
"purchase"	"2"	"宮崎経済連直販"	5	True
"purchase"	"3"	"興梠洋一"	5	True
"purchase"	"4"	"岡村製茶"	5	True
"purchase"	"5"	"ＪＡ高千穂"	5	True
"purchase"	"6"	"三州製茶"	5	True
"purchase"	"7"	"宮崎経済連"	5	True
"purchase"	"8"	"堀口園"	5	True
"purchase"	"9"	"黒山"	5	True
"resale"	"01"	"日向時間"	5	True
"resale"	"02"	"思月園"	5	True
"resale"	"03"	"新井園"	5	True
"resale"	"04"	"ジャポニカ"	5	True
"resale"	"05"	"東京和茶房"	5	True
"resale"	"06"	"広島コープ"	5	True
"resale"	"07"	"山科製茶"	5	True
"resale"	"08"	"沢田園"	5	True
"resale"	"09"	"卓茶"	5	True
"resale"	"10"	"三州製茶"	5	True
"resale"	"11"	"新緑園"	5	True
"resale"	"12"	"大塚製茶園"	5	True
"resale"	"13"	"岡村製茶"	5	True
"resale"	"14"	"古賀製茶"	5	True
"resale"	"15"	"堀口園"	5	True
"resale"	"16"	"谷岩茶舗"	5	True
"resale"	"17"	"池田製茶"	5	True
"resale"	"18"	"鹿島園"	5	True
"resale"	"19"	"小林茶舗"	5	True
"resale"	"20"	"宮崎美老園"	5	True
"resale"	"21"	"吉田園"	5	True
"resale"	"22"	"北條園"	5	True
"resale"	"99"	"サンプル"	5	True
"target_plan1"	"01"	"旬めぐ"	5	True
"target_plan1"	"02"	"一品ﾕﾀｶ"	5	True
"target_plan1"	"03"	"濃いうまみ"	5	True
"target_plan1"	"04"	"濃香あまみ"	5	True
"target_plan1"	"05"	"うまかみどり"	5	True
"target_plan1"	"06"	"有機金"	5	True
"target_plan1"	"07"	"有機緑"	5	True
"target_plan1"	"08"	"さつき金"	5	True
"target_plan1"	"09"	"さつきほうじ"	5	True
"target_plan2"	"01"	"15号"	5	True
"target_plan2"	"02"	"12号"	5	True
"target_plan2"	"03"	"10号"	5	True
"target_plan2"	"04"	"7号"	5	True
"target_plan2"	"05"	"5号"	5	True
"target_plan2"	"06"	"3号"	5	True
"target_plan2"	"07"	"2号"	5	True
"target_plan2"	"08"	"みやざきおくみどり"	5	True
"target_plan2"	"09"	"天花"	5	True
"target_plan3"	"01"	"クズ茶"	5	True
"target_plan3"	"02"	"5釜"	5	True
"target_plan3"	"03"	"釜270"	5	True
"target_plan3"	"04"	"釜TB"	5	True
"target_plan4"	"01"	"都城60印ｵｸﾐﾄﾞﾘ"	5	True
"target_plan4"	"02"	"都城40印ﾔﾌﾞ"	5	True
"target_plan4"	"03"	"60印"	5	True
"target_plan4"	"04"	"40印"	5	True
"target_plan5"	"01"	"ＴＢ"	5	True
"target_plan5"	"02"	"粉茶"	5	True
"target_plan5"	"03"	"仕上"	5	True
"target_plan5"	"04"	"色"	5	True
"target_plan5"	"05"	"切"	5	True
"target_plan6"	"01"	"S"	5	True
"target_plan6"	"02"	"S Gap"	5	True
"target_plan6"	"03"	"R"	5	True
"target_plan6"	"04"	"R Gap"	5	True
"target_plan6"	"05"	"B"	5	True
"target_plan6"	"06"	"B Gap"	5	True
"target1"	"01"	"鹿ﾕﾀｶ"	5	True
"target1"	"02"	"鹿サエ"	5	True
"target2"	"01"	"宮ﾕﾀｶ"	5	True
"target2"	"02"	"宮サエ"	5	True
"target2"	"03"	"宮ヤブ"	5	True
"target2"	"04"	"宮ｵｸﾐﾄﾞﾘ"	5	True
"target2"	"05"	"宮1茶"	5	True
"target3"	"01"	"1茶MS"	5	True
"target3"	"02"	"ZA"	5	True
"target3"	"03"	"ZB"	5	True
"target3"	"04"	"HE"	5	True
"target4"	"01"	"豊緑園有機1茶A"	5	True
"target4"	"02"	"豊緑園有機1茶B"	5	True
"target4"	"03"	"無農薬さつき会善家1茶A"	5	True
"target4"	"04"	"無農薬さつき会1茶B"	5	True
"target4"	"05"	"一里山有機1茶A"	5	True
"target4"	"06"	"一里山有機1茶B"	5	True
"target5"	"01"	"釜ヤラ"	5	True
"target5"	"02"	"釜芽"	5	True
"target5"	"03"	"釜山20"	5	True
"target5"	"04"	"興梠洋一1茶ﾔﾌﾞ"	5	True
"target6"	"01"	"白折"	5	True
"target6"	"02"	"芽"	5	True
"target6"	"03"	"粉"	5	True
"target6"	"04"	"フハ"	5	True
"target6"	"05"	"ケバ"	5	True
"target7"	"01"	"形特仕上"	5	True
"target7"	"02"	"給茶"	5	True
"target7"	"03"	"ほうじ用"	5	True
"target7"	"04"	"碾茶"	5	True
"target7"	"05"	"大塚秋粉"	5	True
"tea_life"	"1"	"1茶"	5	True
"tea_life"	"2"	"2茶"	5	True
"tea_life"	"3"	"3茶"	5	True
"tea_life"	"4"	"番茶"	5	True
"tea_life"	"5"	"4茶"	5	True
